kommune,kommune_kode,afstemningsområde,afstemningsområde_dagi_id,frigivelsestidspunkt,parti,kandidat,stemmer,total_gyldige_stemmer,total_afgivne_stemmer,resultat_art
København,101,2. Nord,706166,19-08-2025 06:43:54,Socialdemokratiet,Sophie Hæstorp Andersen,11039,36188,36437,Fintælling
København,101,2. Nord,706166,19-08-2025 06:43:54,Socialdemokratiet,Lars Weiss,4020,36188,36437,Fintælling
København,101,2. Nord,706166,19-08-2025 06:43:54,Socialdemokratiet,Laura Rosenvinge,2579,36188,36437,Fintælling
København,101,2. Nord,706166,19-08-2025 06:43:54,Venstre,Sophie Hæstorp Andersen,11039,36188,36437,Fintælling
København,101,2. Nord,706166,19-08-2025 06:43:54,Venstre,Lars Weiss,4020,36188,36437,Fintælling
København,101,2. Nord,706166,19-08-2025 06:43:54,Venstre,Laura Rosenvinge,2579,36188,36437,Fintælling
Fanø Kommune,563,Sønderho,710532,01-08-2025 12:19:25,Sol,Amalie Bisgaard,1,4,4,Fintælling
Fanø Kommune,563,Sønderho,710532,01-08-2025 12:19:25,Sol,Signe Hansen,0,4,4,Fintælling
Fanø Kommune,563,Sønderho,710532,01-08-2025 12:19:25,Test,Mia Nøhr,0,4,4,Fintælling
Fanø Kommune,563,Sønderho,710532,01-08-2025 12:19:25,Test,Hannah Hansen,1,4,4,Fintælling
Fanø Kommune,563,Nordby,702962,01-08-2025 12:17:25,Sol,Signe Hansen,2,3,4,Fintælling
Fanø Kommune,563,Nordby,702962,01-08-2025 12:17:25,Sol,Amalie Bisgaard,0,3,4,Fintælling
Fanø Kommune,563,Nordby,702962,01-08-2025 12:17:25,Test,Hannah Hansen,1,3,4,Fintælling
Fanø Kommune,563,Nordby,702962,01-08-2025 12:17:25,Test,Mia Nøhr,0,3,4,Fintælling
København,101,2. Nord,706166,19-08-2025 06:43:54,Socialdemokratiet,Sophie Hæstorp Andersen,11039,36188,36437,Fintælling
København,101,2. Nord,706166,19-08-2025 06:43:54,Socialdemokratiet,Lars Weiss,4020,36188,36437,Fintælling
København,101,2. Nord,706166,19-08-2025 06:43:54,Socialdemokratiet,Laura Rosenvinge,2579,36188,36437,Fintælling
København,101,2. Nord,706166,19-08-2025 06:43:54,Venstre,Sophie Hæstorp Andersen,11039,36188,36437,Fintælling
København,101,2. Nord,706166,19-08-2025 06:43:54,Venstre,Lars Weiss,4020,36188,36437,Fintælling
København,101,2. Nord,706166,19-08-2025 06:43:54,Venstre,Laura Rosenvinge,2579,36188,36437,Fintælling
