dagi_id,navn,nummer,afstemningssted_navn,kommune_id,opstillingskreds_nummer,opstillingskreds_dagi_id,afstemningssted_adresse,kommune_navn,kommune_dagi_id,største_parti
749323,Gørløse,12,Gørløse Forsamlingshus,219,23,403555,"Hovedvejen 28A, 3330 Gørløse",Hillerød,389125,
749324,"Grønnevang Skole, Østervang",9,"Grønnevang Skole, afd. Østervang",219,23,403555,"Østervang 124, 3400 Hillerød",Hillerød,389125,
749326,Lille Lyngby,10,Arresøhus Forsamlingshus,219,23,403555,"Skolevej 2, Meløse, 3320 Skævinge",Hillerød,389125,
704344,Hillerødsholmsskolen,2,Hillerødsholmskolen,219,23,403555,"Hillerødsholmsalle 2, 3400 Hillerød",Hillerød,389125,
701190,Brødeskov,3,Sognegården,219,23,403555,"Kirkepladsen 1, Nørre Herlev, 3400 Hillerød",Hillerød,389125,
710380,Gadevang,8,Gadevang Forsamlingshus,219,23,403555,"Gadevangsvej 145A, Gadevang, 3400 Hillerød",Hillerød,389125,
707252,Hammersholt,4,Hammersholt Forsamlingshus,219,23,403555,"Hammersholt Byvej 16, Hammersholt, 3400 Hillerød",Hillerød,389125,
708774,Royal Stage,1,Royal Stage,219,23,403555,"Milnersvej 39A, 3400 Hillerød",Hillerød,389125,
749322,"Skævinge, Harløse, Strø",11,"Skævinge Kultur,- Idræts- og Fritidshus",219,23,403555,"Ny Harløsevej 15A, 3320 Skævinge",Hillerød,389125,
702782,Alsønderup,5,"Hillerød Vest Skolen, Alsønderup",219,23,403555,"Baunevej 8, Alsønderup, 3400 Hillerød",Hillerød,389125,
749325,Uvelse,13,Uvelse Bibliotek,219,23,403555,"Uvelse Byvej 3, Uvelse, 3550 Slangerup",Hillerød,389125,
701196,Ullerød,6,Sophienborgskolen,219,23,403555,"Sophienborg Alle 9, 3400 Hillerød",Hillerød,389125,
707266,Nødebo,7,"Grønnevang Skole, Afd. Nødebo",219,23,403555,"Skolevej 2, Nødebo, 3480 Fredensborg",Hillerød,389125,
