kandidat,parti,stemmer
Jørgen Popp Petersen,Slesvigsk Parti,248
Poul Erik Kjær,Venstre,155
"Allan Svendsen, Rømø",Dansk Folkeparti,75
René Andersen,T,70
Bo Jessen,T,66
Anita Uggerholt Eriksen,T,59
"Mads-Magnus Dam, Frifelt",Dansk Folkeparti,55
Kjeld Oksen,Venstre,36
Morten Gaarde Gad,Venstre,33
Anette Abildgaard Larsen,Konservative,30
Torben Struck,Socialdemokratiet,29
"Pernille Mai Brylle, Vesterende Ballum",Dansk Folkeparti,28
Karoline Kosegarten Knudsen,T,25
"Anders Lund, Skærbæk",Danmarksdemokraterne,20
"Jørn Andersen, Tønder",Danmarksdemokraterne,19
"Niels Schmidt, Agerskov",Danmarksdemokraterne,19
"Jens Laurids Sørensen, Skærbæk",Liberal Alliance,19
Karen Inger Refslund Andersen,T,18
Louise Thomsen Terp,Slesvigsk Parti,18
Rikke Weng-Ludvigsen,SF,17
Martin Iversen,Venstre,17
Alina Racila,Socialdemokratiet,16
"Lars Lund Hansen, Skærbæk",Liberal Alliance,16
Flemming Gjelstrup,Socialdemokratiet,15
Simon Seidelin,Venstre,15
Tilde Holch Duedahl,Venstre,14
Bjarne Lund Henneberg,SF,14
Hans Otto Sørensen,Venstre,13
"Barbara Krarup Hansen, Tønder",Y,12
Rita Westergaard,T,12
Jan Fogh,Venstre,11
"Kim Pedersen, Toftlund",Dansk Folkeparti,9
"Betina Pedersen, Toftlund",Dansk Folkeparti,8
Lars Rømer,Socialdemokratiet,8
Jytte Madvig Evald,Alternativet,8
"Ulla Oksen, Agerskov",Dansk Folkeparti,7
Eva Ebbesen,T,7
Allan Skjøth,Venstre,7
Bodil Thye,Socialdemokratiet,6
Neel Rudebeck,Venstre,6
Lasse Sabinus Weng-Ludvigsen,SF,6
Leif Hansen,Slesvigsk Parti,5
Carl Marius Gaarde,SF,4
Poul Erik Dransfeldt Hunderup,T,4
Allan Elneff,T,4
Jon Bak Fabricius,Venstre,4
Lone C. Rahr Madsen,Venstre,4
Johan Johansen,Venstre,3
Randi Damstedt,Slesvigsk Parti,3
Emil Seidelin,Venstre,3
"Karin Asta Lildballe, Højer",Dansk Folkeparti,3
Svend Sommerlund,Konservative,3
Mette Nielsen,Socialdemokratiet,3
Preben Helleberg Jensen,Konservative,2
"Jørgen Lildballe, Højer",Dansk Folkeparti,2
Astrid Ørting Jørgensen,Venstre,2
Inge Jepsen,Venstre,2
"Freddy Bucka Andresen, Tønder",Liberal Alliance,2
Lorena Otto Pedersen,Slesvigsk Parti,2
Henning Gad,Socialdemokratiet,2
Kim Hauborg,Socialdemokratiet,2
Karsten E. Møller,Venstre,2
Henrik S. Sønnichsen,Venstre,2
Mette-Emilie Beck,Socialdemokratiet,2
Mette Pedersen,T,2
Henrik Scholz,Socialdemokratiet,1
Victor Puck Terp,Slesvigsk Parti,1
"Anders H. Andersen, Sølsted",Danmarksdemokraterne,1
Keen Andersen,Venstre,1
Karin Müller,Slesvigsk Parti,1
"Kurt Condrup, Løgumkloster",Dansk Folkeparti,1
Hauke Grella,Slesvigsk Parti,1
Jens Nissen,Socialdemokratiet,1
Susanne Pedersen,Venstre,1
Harald Christensen,Socialdemokratiet,1
Helle Glass,Konservative,1
Henning Nørret Nielsen,Venstre,1
Maria Ingemann Jensen,SF,1
Pia Hedegaard Kristensen,T,1
Mike Dyrby Petersen,Socialdemokratiet,1
Carl-Erik Nielsen,Venstre,1
Dorthe Rudebeck Schack,Venstre,1
Jakob Tästensen,Slesvigsk Parti,1
Mathias Knudsen,Slesvigsk Parti,1
"Bent Olesen, Skærbæk",Dansk Folkeparti,1
Ruben Baagøe Jacobsen,T,1
Jesper Steenholdt,T,0
Volker Heesch,Slesvigsk Parti,0
Jakob S. Stokbæk,Venstre,0
Karl Henning Clausen,T,0
Jan Salskov,Socialdemokratiet,0
Jens Møller,Venstre,0
Tobias Brink Roth,T,0
Christian Andresen,Slesvigsk Parti,0
Elisabeth Simonsen,Socialdemokratiet,0
Finn Hansen,T,0
Michael Bothmann Jensen,SF,0
Claus Hansen,Slesvigsk Parti,0
Christian Olenius Veirum,T,0
Kjeld Callesen,Venstre,0
Stefan Marcussen,Venstre,0
Kim Tygesen,Venstre,0
Søren T. Hansen,Venstre,0
Steen Andersen,T,0
Linda Oksen,Venstre,0
Leif Høeg Jensen,Venstre,0
"Sigurd Lidegaard Olesen, Tønder",Y,0
