kandidat,parti,stemmer
Morten Slotved,Konservative,24
Emilie U. Andersen-Ranberg,Radikale,20
Bent Christensen,Liberal Alliance,11
Ann Lindhardt,Venstre,11
Marcus Guldager,Socialdemokratiet,9
Anne Ehrenreich,E,9
Thorkild Gruelund,Frie Grønne,7
Maria Dahl,Liberal Alliance,6
Charlotte Kirchheiner,Konservative,6
Dorte Holst,Venstre,6
Joachim Boldsen,Konservative,6
Søren Øverup,Konservative,6
Ole Wessung,Konservative,5
Louise Zabel,SF,5
Pernille Schnoor,Moderaterne,4
Maj Allin Thorup,Konservative,4
Henrik Klitgaard,T,4
Jesper Sperling,Venstre,3
Annette Wiencken,Konservative,3
Nina Brask,T,3
Liva Nørskov Heller,Venstre,3
Mathias Westen,Liberal Alliance,2
Stine Pagh,Radikale,2
Caroline Victoria Christensen,Socialdemokratiet,2
Henrik Drachmann Kolding,Liberal Alliance,2
Katja Elberg,Radikale,2
Otto B. Christiansen,Konservative,2
Thomas Madsen,Venstre,2
Frida Alexandra Søgård,Konservative,1
Esben Dyekjær,Konservative,1
Lars Frederik Thalbitzer,Venstre,1
Hans Laugesen,Radikale,1
Christian Wikström,Venstre,1
Hanne Bay Holm,Venstre,1
Erik Bryld,T,1
Jes Holm,Liberal Alliance,1
Steffen Brygger Lund,Konservative,1
Tomas Dyrbye,Konservative,1
Karsten Eckert,Liberal Alliance,1
Siem Gebreslase,Venstre,1
Anders Kinnerup,Frie Grønne,0
Hanne Kaae,T,0
Peter Antonsen,T,0
Birgitte Krag,T,0
Peter Agger,Konservative,0
Per Østergaard Jacobsen,E,0
Ib Lunde,L,0
Ib Tune Olsen,SF,0
Thomas Aaby Wichers,Konservative,0
Niels Hass,Frie Grønne,0
Olena Duus,Socialdemokratiet,0
Gitte Sornn-Friese,Frie Grønne,0
Nadja Maria Hageskov,T,0
Ella Andersen,Frie Grønne,0
Henrik Bjørkman,Venstre,0
Fie Smith,Venstre,0
Nicklas Spånberg,Moderaterne,0
Tom Rytkjær,Venstre,0
Dickte Noël Toft,Socialdemokratiet,0
Jan Mauritzen,SF,0
Jacob Schulze,Venstre,0
Erik Wetche,Venstre,0
Lisa Walther Holm,Liberal Alliance,0
Dorthe Bajon,Venstre,0
Sarah Dal Hansen,T,0
Charlotte Skadhauge,Radikale,0
Erik Rosenkrantz Fuglsang,Venstre,0
Lone Sønderbo,Venstre,0
Julie Hausner Secher,Radikale,0
Mogens Buch-Larsen,Frie Grønne,0
Annie Rastrup,Frie Grønne,0
Vibeke Hindsberg,Frie Grønne,0
Mika Torsten Bärlund,Socialdemokratiet,0
Christoffer Henriksen,Frie Grønne,0
Svend Erik Christiansen,Socialdemokratiet,0
Peter M. Brandi,Konservative,0
Bo Johansen,T,0
Erik Andersen,Frie Grønne,0
Jørgen Eirfeldt,Venstre,0
Stine Darmer,Liberal Alliance,0
Michael Carlsen,T,0
Mads Møller Andersen,Radikale,0
