kandidat,parti,stemmer
Peder Hummel,Venstre,281
Vicki Munksgaard,Danmarksdemokraterne,116
Peder Frølund Buch,L,100
Lone Pilgaard Sørensen,Socialdemokratiet,91
Ole Nees,Venstre,90
Chris Olesen,Venstre,90
Kristian Siig,Danmarksdemokraterne,81
Henning Sloth,Danmarksdemokraterne,66
Jens Lønberg,Konservative,58
Trine Rønn,SF,47
Ole Kjærgaard,Danmarksdemokraterne,40
Christina Serup Hove,Venstre,39
Henrik Grøn,Danmarksdemokraterne,37
Gunnar Lisby Kjær,Venstre,32
Asger Gyldenkærne,Venstre,29
Helene Nørgaard Herping,Danmarksdemokraterne,25
Jonas Munkholm Jensen,L,25
Marianne Dræby Zuccarello,Socialdemokratiet,24
Bent B. Graversen,Venstre,23
Lars H. Snejbjerg,Venstre,22
Peter Borup Sørensen,Socialdemokratiet,20
Dorete Kallesøe,SF,16
Albert Vinther Krogh,Venstre,13
Per M. Olesen,Venstre,12
Gitte Winther Jeppesen,Radikale,12
Dan Søgaard Ditlevsen,L,10
Steen Madsen,Socialdemokratiet,9
Kasper Humle,Radikale,9
Helle Frederiksen,SF,8
Søren V. Jensen,Venstre,7
Carina Borum,Venstre,7
Michael Mølgaard,L,6
Benedicte Hjerl Carstensen,Konservative,5
Henning Juhl Christensen,Dansk Folkeparti,5
Rico Abildtrup Ruby,Danmarksdemokraterne,5
Bent Wolder Mortensen,Socialdemokratiet,4
Niels Chr. Lind,Venstre,4
Jakob Brokholm Mortensen,Socialdemokratiet,4
Karl Balleby,Dansk Folkeparti,4
Martin Sig Kristensen,L,4
Ole Nicolajsen,L,3
Ole Skovsgaard Daniel,Socialdemokratiet,2
Pia Ellesøe,SF,2
Pia Brøchner Jensen,Socialdemokratiet,2
Ivan Møller Sørensen,Socialdemokratiet,2
Knud Bjerrum,Socialdemokratiet,2
Maja Krogsgaard,Venstre,2
Allan Mose Jakobsen,Socialdemokratiet,2
Rasmus Porup,Konservative,1
Anna Maria Hoornenborg,Radikale,1
Per Lindved,Konservative,1
Ole Margon,Radikale,1
Jesper Skinhøj Sund,Socialdemokratiet,1
Niels Wied,Radikale,1
Michael Povlsgaard,Konservative,1
Jørn Skou,Konservative,1
Anette Colding Brun,Radikale,0
Tim Rørstrøm,Radikale,0
Søren L. Christensen,SF,0
Torben Mamsen,SF,0
Keld Marstrand Christensen,Radikale,0
Claus Ø. Mosekjær,Konservative,0
Jacob Hansen Rye,SF,0
Hemming Klokker,SF,0
Janet Jensen,SF,0
Jens Jørn Porup,Konservative,0
Azad Palmqvist,Radikale,0
Sjønne Kallesøe,Radikale,0
Brian Lehm Nielsen,SF,0
Nick Larsen,Dansk Folkeparti,0
