kandidat,parti,stemmer
Martin Damm,Venstre,3215
Tina Beck-Nilsson,Socialdemokratiet,1449
"Thomas Hiorth, Svebølle",SF,1068
Helle Laursen Petersen,Liberal Alliance,523
"Charlotte Jørgensen, Kalundborg",SF,481
Jakob Beck Jensen,Venstre,462
Niels-Erik Sørensen,Venstre,454
"Peter Jacobsen, Snertinge",Dansk Folkeparti,429
Esben Hansen,Socialdemokratiet,413
Kristian Kallenbach,Venstre,409
"Martin Schwartzbach, Kalundborg",Dansk Folkeparti,407
"Niels Erik Danielsen, Høng",Enhedslisten,382
Kristine Vesterskov Olsen,Socialdemokratiet,364
Peer Justesen,Danmarksdemokraterne,326
Marie Hansen,Danmarksdemokraterne,315
Gunver Jensen,L,309
Henriette Ergemann,E,308
Kirsten Rask,Socialdemokratiet,305
Gitte Johansen,Venstre,304
Jonas Anhøj Henriksen,L,274
Nikolaj Lykke Vad,Socialdemokratiet,271
Mustapha Badr,Venstre,256
"Hans Munk, Kalundborg",Radikale,245
"Jesper Wienmann Hansen, Høng",Konservative,233
Peter Nielsen,Liberal Alliance,220
Svend Müller,Venstre,218
"Kirsten Skovgaard, Reerslev",SF,199
Cathrine Sinding,Venstre,197
"Frederik Gordon Pedersen, Gørlev",N,195
"Mette Hvid Brockmann, Havnsø/Føllenslev",Radikale,189
Jens Hougaard,Danmarksdemokraterne,176
"Eva Levinsen, Røsnæs",SF,174
Simone Jessen Hansen,Venstre,171
Karl-Åge Hornshøj Poulsen,Venstre,166
Thomas Pedersen,Venstre,164
K. Liv Rasmussen,Venstre,163
"Kristina Püschl, Reersø",SF,157
"Mikkel Egede Herskind, Raklev",Konservative,151
Robin Ringvig Larsen,Socialdemokratiet,144
Malene Ellebæk,Socialdemokratiet,137
"Line Maj Stranges, Kaldred",Radikale,136
"Susanne Brix Fransen, Kalundborg",Enhedslisten,131
"Ivan Karlsson, Gørlev",Dansk Folkeparti,130
"Jane Christensen, Kalundborg",Konservative,130
Gustav Jakobsen,Venstre,128
"Lukas Olesen, Kalundborg",Dansk Folkeparti,126
Klaus Bay Mikkelsen,Venstre,110
Rikke Jensen,L,109
"Kathrin Kok, Kalundborg",Dansk Folkeparti,103
Ruth Josiassen,Socialdemokratiet,102
"Jeanette Jensen, Høng",N,96
"Mark F. Kramer, Høng",Dansk Folkeparti,95
"Birgitte Brøj, Kirke Helsinge",SF,87
"Jan Broholm, Eskebjerg",Enhedslisten,87
Mads Søe Daugaard,Moderaterne,86
"Jens Kallehave, Kalundborg",N,84
Joan Balling,Socialdemokratiet,80
Anja Wuust,L,79
Claus Toftegaard,Danmarksdemokraterne,79
Bodil Hellemann,Venstre,73
Tonny Voldby Pedersen,E,71
"Stig Nielsen, Kalundborg",Radikale,61
"Malou Kramer, Høng",Dansk Folkeparti,58
Søren Vang Fischer,Venstre,56
"Dean Lilleskov Larsen, Jerslev",Konservative,55
"Christina Karlsson, Gørlev",Dansk Folkeparti,54
Mads Olsen,Venstre,53
Rasmus Haagensen,Socialdemokratiet,51
"Jørgen Randløv Madsen, Dianalund",Enhedslisten,42
"Kåre Gram, Kalundborg",SF,34
Per Kjær Erichsen,Socialdemokratiet,31
Dorte Svane,Liberal Alliance,30
"Jens Pihlkjær Christensen, Buerup",Enhedslisten,29
Arne Jensen,Socialdemokratiet,29
Søren Bang Knudsen,Venstre,27
"Frode Lund, Høng",Konservative,25
Kenneth Merkel,Liberal Alliance,23
"Peter Joensen, Høng",Konservative,22
"Pylle Quaade, Eskebjerg",Radikale,22
"Anne Grete Madsen, Bjergsted",Konservative,16
Lasse Rask Jensen,Liberal Alliance,16
Michael Augustine,Moderaterne,15
"Henry Larsen, Sejerø",Radikale,14
Mikkel Bredlund,E,4
Allan Jensen,E,1
"Ejnar Jensen, Sønderød",Radikale,1
Jacob Fremming,E,1
