bogstav,procent_25,procent_21,partier,listebogstav
DD,6.658467522809827,,Danmarksdemokraterne,Æ
DF,4.416097016846381,3.974090626237483,Dansk Folkeparti,O
E,0.17160998770128422,,E,E
EL,2.6656751422932814,2.520224019912881,Enhedslisten,Ø
J,0.14014815662271543,,J,J
K,18.611103166204273,20.48707359846128,Konservative,C
L,3.02319595000429,,L,L
LA,2.2652518376569515,,Liberal Alliance,I
M,0.8694906043531734,,Moderaterne,M
R,3.638131739267225,3.0321887198053967,Radikale,B
SF,6.564082029574121,3.8524636533348424,SF,F
S,27.989588994079455,31.699383379532726,Socialdemokratiet,A
V,22.98715785258702,26.311025626520333,Venstre,V
