kommune,kommune_dagi_id,frigivelsestidspunkt,opdateringstidspunkt,valgforbund_navn,kandidatliste_id,valgforbund_partier,valgforbund_partibogstav
Faaborg-Midtfyn,389158,2025-10-06 10:05:57,2025-10-06 10:05:57,"B, L, M","['65654baf-0d17-444f-8b8d-ded91d47ec33', '6beef4e0-f94c-440a-9a6a-42f11e679a05', 'b94df435-98ad-4b8a-88f0-0e1928bcaaf0']","['Radikale Venstre', 'Lokallisten Faaborg-Midtfyn', 'Moderaterne']","['B', 'L', 'M']"
Faaborg-Midtfyn,389158,2025-10-06 10:05:57,2025-10-06 10:05:57,"F, Ø","['82e62c23-b60c-4b71-8772-ec23c5f3ecf8', 'd6dd0792-0912-48cc-a3d6-e6525ffde99d']","['Enhedslisten - De Rød-Grønne', 'SF - Socialistisk Folkeparti']","['Ø', 'F']"
Faaborg-Midtfyn,389158,2025-10-06 10:05:57,2025-10-06 10:05:57,"C, I, O, Æ","['0e88e7ef-ba60-4f24-883a-4895bd69a8f3', '55d4e0be-a0b4-457a-8bab-1f6f6d857e26', '747531b7-9936-41f2-9c18-b9d537ee4003', 'da6b0e7a-828e-472e-aecb-ed0bd0d4fb74']","['Liberal Alliance', 'Dansk Folkeparti', 'Danmarksdemokraterne - Inger Støjberg', 'Det Konservative Folkeparti']","['I', 'O', 'Æ', 'C']"
Brøndby,389106,2025-10-06 12:25:28,2025-10-06 12:25:28,Valgforbund II,"['7130f580-7037-4daf-86df-ec52cd3625e6', 'a653c687-4e33-46c3-a22f-c794846f2994', 'acb0f894-58a7-406c-9cfe-f65a88808308', 'b522e809-c0b8-4802-b94a-953cb8d86694']","['Det Konservative Folkeparti', 'Liberal Alliance', 'Venstre, Danmarks Liberale Parti', 'Dansk Folkeparti']","['C', 'I', 'V', 'O']"
Brøndby,389106,2025-10-06 12:25:28,2025-10-06 12:25:28,Valgforbund III,"['7e1e07c7-be39-4e07-a7c8-662fa901dc12', '95ac7b65-9c55-47b7-9d73-50536aa0aa46', '9cab9f7c-3ea7-427a-bf33-12ddc90b2dea']","['Radikale Venstre', 'Moderaterne', 'Kristendemokraterne']","['B', 'M', 'K']"
Brøndby,389106,2025-10-06 12:25:28,2025-10-06 12:25:28,Valgforbund I,"['57b064d3-da23-45c7-bf15-c5765157bebd', 'e06b8df3-c2c0-4a01-9eb6-915a59d43dbe']","['SF - Socialistisk Folkeparti', 'Socialdemokratiet']","['F', 'A']"
Jammerbugt,389205,2025-10-06 10:03:41,2025-10-06 10:03:41,BKT,"['2f9790eb-73bf-476f-9753-74ac737930a9', 'bb5a6cd2-598d-45b1-992e-75cb73f959e3', 'cde4bc8b-9f28-4edd-8b31-fcaeaa51e370']","['Kristendemokraterne', 'Radikale Venstre', 'Lokallisten Jammerbugt']","['K', 'B', 'T']"
Jammerbugt,389205,2025-10-06 10:03:41,2025-10-06 10:03:41,CIL,"['517d994f-483a-40b4-94d0-6a156c9fb3b5', '78099afd-7dae-4b39-ab8b-8aa2e82c76f3', '7e620cd5-9e5f-4c22-8f75-9bc512019c19']","['Vendelbo-Listen', 'Liberal Alliance', 'Det Konservative Folkeparti']","['L', 'I', 'C']"
Jammerbugt,389205,2025-10-06 10:03:41,2025-10-06 10:03:41,AF,"['1b7834fc-da3d-4f45-92db-e8f51402c3b5', 'cd07c1fa-1c08-471d-b7e1-819835380c8b']","['Socialdemokratiet', 'SF - Socialistisk Folkeparti']","['A', 'F']"
Jammerbugt,389205,2025-10-06 10:03:41,2025-10-06 10:03:41,OVÆ,"['68ef3028-4e6f-4ea2-b243-a34da4e2a751', '7cfae50c-469b-4359-bfaa-4563ed6fc4c5', 'b3aa20c5-29a2-4f47-822a-4bda8cc4024c']","['Dansk Folkeparti', 'Danmarksdemokraterne - Inger Støjberg', 'Venstre, Danmarks Liberale Parti']","['O', 'Æ', 'V']"
